date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,cogs,product sales tax,shipping credits,shipping credits tax,gift wrap credits,gift wrap credits tax,Regulatory fee,Tax on regulatory fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction status,Transaction Release Date
"Jan 20, 2026 7:27:17 p.m. PST",25544384651,Order,702-0915258-4356219,LAN-RUSTI,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",1,amazon.ca,Amazon,Nanaimo,British Columbia,V9T 5P,Combined TCS+MTC,29.99,5.38,3.6,0,0,0,0,0,0,0,0,-3.6,-4.5,-9.29,0,0,16.2,Released,"Jan 30, 2026 1:22:34 a.m. PST"
"Jan 1, 2026 11:58:29 p.m. PST",25325771691,Order,701-1685392-1781866,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",1,amazon.ca,Amazon,Calgary,Alberta,T3L 2S,Combined TCS+MTC,24.99,6.72,1.25,2.33,0,0,0,0,0,-2.33,0,-1.25,-3.75,-8.99,0,0,12.25,Released,"Jan 9, 2026 7:10:11 a.m. PST"
"Jan 5, 2026 2:05:07 p.m. PST",25325771691,Order,702-5103072-1646625,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",2,amazon.ca,Amazon,Coquitlam,British Columbia,V3H 4S,Combined TCS+MTC,49.98,6.72,6,6.99,0,0,0,0,0,-6.99,0,-6,-7.5,-19.24,0,0,23.24,Released,"Jan 13, 2026 3:41:19 a.m. PST"
"Jan 7, 2026 9:40:53 p.m. PST",25431919491,Order,702-7718758-3874614,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",1,amazon.ca,Amazon,Mississauga,Ontario,L4Z 1R,Combined TCS+MTC,24.99,6.72,3.25,0,0,0,0,0,0,0,0,-3.25,-3.75,-8.99,0,0,12.25,Released,"Jan 15, 2026 11:55:02 p.m. PST"
"Jan 8, 2026 8:18:17 p.m. PST",25431919491,Order,701-4448882-3410626,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",1,amazon.ca,Amazon,Nanaimo,British Columbia,V9T 0C,Combined TCS+MTC,24.99,6.72,3,2.94,0,0,0,0,0,-2.94,0,-3,-3.75,-8.99,0,0,12.25,Released,"Jan 17, 2026 10:52:31 p.m. PST"
"Jan 10, 2026 6:56:30 p.m. PST",25431919491,Order,702-5406587-3219434,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",1,amazon.ca,Amazon,Ottawa,Ontario,K4A 0W,Combined TCS+MTC,24.99,6.72,3.25,1.75,0,0,0,0,0,-1.75,0,-3.25,-3.75,-8.99,0,0,12.25,Released,"Jan 18, 2026 1:42:27 a.m. PST"
"Jan 10, 2026 8:33:21 p.m. PST",25431919491,Order,701-4768469-6426609,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",1,amazon.ca,Amazon,Ancaster,Ontario,L9K 1M,Combined TCS+MTC,24.99,6.72,3.25,0,0,0,0,0,0,0,0,-3.25,-3.75,-8.99,0,0,12.25,Released,"Jan 19, 2026 12:20:58 a.m. PST"
"Jan 22, 2026 7:21:08 a.m. PST",25544384651,Order,702-1018854-0100258,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",1,amazon.ca,Amazon,Okotoks,Alberta,T1S 5T,Combined TCS+MTC,24.99,6.72,1.25,3.27,0,0,0,0,0,-3.27,0,-1.25,-3.75,-8.49,0,0,12.75,Released,"Feb 3, 2026 7:54:35 p.m. PST"
"Jan 28, 2026 5:45:05 p.m. PST",25544384651,Order,701-7319491-4260208,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",1,amazon.ca,Amazon,Calgary,Alberta,T2G 4B,Combined TCS+MTC,24.99,6.72,1.25,0,0,0,0,0,0,0,0,-1.25,-3.75,-9.08,0,0,12.16,Released,"Feb 6, 2026 12:38:26 a.m. PST"
"Jan 31, 2026 1:44:34 p.m. PST",25544384651,Order,701-6660076-3529816,NIRO-3TOWEL,"Premium Cotton Towel Set - Lightweight, Quick-Dry, Highly Absorbent Hand Towels - Gym Towels Set - 13.75"" x 29.5"" - Luxury Towels for Bathroom, Gym, H",1,amazon.ca,Amazon,Langley,British Columbia,V2Z1H,Combined TCS+MTC,24.99,6.72,3,1.39,0,0,0,0,0,-1.39,0,-3,-3.75,-9.08,0,0,12.16,Released,"Feb 8, 2026 5:33:40 a.m. PST"
