id,amazon_order_id,merchant_order_id,purchase_date,last_updated_date,order_status,fulfillment_channel,sales_channel,order_channel,url,ship_service_level,product_name,sku,asin,item_status,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,gift_wrap_price,gift_wrap_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,is_business_order,purchase_order_number,price_designation,buyer_identification_number,buyer_identification_type,created_at
198,701-3691970-4468255,701-3691970-4468255,2026-03-27T13:07:57+00:00,2026-03-28T00:46:32+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,3.64,,,,,,,Kincardine,Ontario,"N2Z 3B6",CA,,,,,,,"2026-04-29 11:21:40"
199,701-9362490-7363463,701-9362490-7363463,2026-03-27T13:03:40+00:00,2026-03-28T21:54:32+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"La Petite Ourse Washable Nursing Pads for Breastfeeding - 4-Layer Bamboo and Polyester Reusable Breast Pads Nursing - Ultra-Soft, Thin & Highly Absorb",Nursing-03,B0B42X81PJ,Shipped,1,CAD,26.49,1.32,,,,,,,laval,Quebec,"H7R 4Y6",CA,,,,,,,"2026-04-29 11:21:40"
200,701-0887052-1117852,701-0887052-1117852,2026-03-27T11:18:53+00:00,2026-03-28T15:15:02+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Baby Cloth Diapers- Pack of 3 (Rustique)",BUNDLE-WDRB-7,B0CHYBHZ4H,Shipped,1,CAD,27.99,4.19,6.99,,,,,6.99,Repentigny,Québec,J5Z4K6,CA,,,,,,,"2026-04-29 11:21:40"
201,701-8364102-0827412,701-8364102-0827412,2026-03-27T10:56:53+00:00,2026-03-28T09:46:17+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,3.64,,,,,,,Chelmsford,Ontario,"P0M 1L0",CA,,,,,,,"2026-04-29 11:21:40"
202,701-2080623-4583457,701-2080623-4583457,2026-03-27T10:56:53+00:00,2026-03-28T09:42:28+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE 10 One Size Animal Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds",BUNDLE-10CLPS,B09RPVGZWS,Shipped,1,CAD,135,6.75,,,,,,,Chelmsford,Ontario,"P0M 1L0",CA,,,,,,,"2026-04-29 11:21:40"
203,701-2080623-4583457,701-2080623-4583457,2026-03-27T10:56:53+00:00,2026-03-28T09:42:28+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Reusable Swim Diapers - Adjustable, Washable & Leakproof Swimmers - Baby Swimming Diapers for Boys & Girls - Ideal for Swimming Lesson",BUNDLE-3P-5,B0FQJ1JKTQ,Shipped,1,CAD,39,1.95,,,,,,,Chelmsford,Ontario,"P0M 1L0",CA,,,,,,,"2026-04-29 11:21:40"
204,701-2080623-4583457,701-2080623-4583457,2026-03-27T10:56:53+00:00,2026-03-28T09:42:28+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,32,1.6,,,,,,,Chelmsford,Ontario,"P0M 1L0",CA,,,,,,,"2026-04-29 11:21:40"
205,702-4154157-3129022,702-4154157-3129022,2026-03-27T05:32:25+00:00,2026-03-27T09:41:43+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,1.4,,,,,,,Calgary,Alberta,"T3L 3A5",CA,,,,,,,"2026-04-29 11:21:40"
206,701-0056102-2274619,701-0056102-2274619,2026-03-27T03:35:05+00:00,2026-03-28T05:27:54+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE 10 One Size Animal Printed Snap Cloth Diaper With 20 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds",BUNDLE-10CLPS,B09RPVGZWS,Shipped,1,CAD,135,6.75,3.92,,,,,3.92,Angus,Ontario,"L0M 1B3",CA,,,,,,,"2026-04-29 11:21:40"
207,702-2779914-6854659,702-2779914-6854659,2026-03-27T02:20:36+00:00,2026-03-29T03:05:40+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Baby Cloth Diapers- Pack of 3 (Rustique)",BUNDLE-WDRB-7,B0CHYBHZ4H,Shipped,1,CAD,27.99,3.64,,,,,,,Toronto,Ontario,"M4M 3B4",CA,,,,,,,"2026-04-29 11:21:40"
